"id","mois","produit","region","gouvernorat","tranche_age","genre","milieu","canal_achat","occasion","quantite","prix_unitaire","montant_total","satisfaction","canal_decouverte","concurrent_essaye","racheterait","recommande_ami"
"ACH00037","Janvier","Boga Limoun","Grand Tunis","Ben Arous","18-24","M","urbain","supermarche","quotidien","2","1.8","3.6","3","reseaux_sociaux","Fanta","Oui","Non"
"ACH00038","Janvier","Boga Cidre","Nord Littoral","Bizerte","45-54","M","rural","cafe_restaurant","fete","2","1.8","3.6","4","affichage","Aucun","Oui","Oui"
"ACH00039","Janvier","Boga Limoun","Nord Littoral","Zaghouan","35-44","M","rural","epicerie","quotidien","1","1.8","1.8","5","affichage","Safia","Oui","Oui"
"ACH00040","Janvier","Boga Cidre","Nord-Ouest","Jendouba","8-17","F","urbain","cafe_restaurant","repas_famille","3","1.8","5.4","5","pub_tv","Pepsi","Oui","Oui"
"ACH00041","Janvier","Boga Cidre","Grand Tunis","Manouba","18-24","F","rural","epicerie","quotidien","2","1.8","3.6","5","reseaux_sociaux","Boga","Oui","Oui"
"ACH00042","Janvier","Boga Limoun","Nord Littoral","Nabeul","18-24","M","urbain","cafe_restaurant","quotidien","1","1.8","1.8","5","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00043","Janvier","Boga Cidre","Nord-Ouest","Jendouba","8-17","M","urbain","en_ligne","quotidien","1","1.8","1.8","5","influenceur","Pepsi","Oui","Non"
"ACH00044","Janvier","Boga Cidre","Centre-Est","Mahdia","18-24","F","urbain","distributeur_auto","repas_famille","6","1.8","10.8","5","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00045","Janvier","Boga Pomme","Grand Tunis","Manouba","35-44","M","urbain","epicerie","sport","1","1.8","1.8","4","pub_tv","Fanta","Oui","Oui"
"ACH00046","Janvier","Boga Fraise","Centre-Ouest","Kasserine","25-34","F","urbain","supermarche","quotidien","1","1.8","1.8","4","affichage","Fanta","Oui","Oui"
"ACH00047","Janvier","Boga Cidre","Sud","Médenine","18-24","M","urbain","epicerie","quotidien","2","1.8","3.6","5","bouche_a_oreille","Fanta","Oui","Non"
"ACH00048","Janvier","Boga Cidre","Sud","Gabès","25-34","F","urbain","epicerie","quotidien","1","1.8","1.8","4","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00049","Janvier","Boga Cidre","Nord-Ouest","Jendouba","18-24","F","urbain","epicerie","quotidien","1","1.8","1.8","3","bouche_a_oreille","Safia","Oui","Non"
"ACH00050","Janvier","Boga Cidre","Nord Littoral","Bizerte","35-44","F","urbain","en_ligne","fete","3","1.8","5.4","4","affichage","Coca-Cola","Oui","Non"
"ACH00051","Janvier","Boga Cidre","Grand Tunis","Ariana","25-34","F","rural","supermarche","quotidien","1","1.8","1.8","4","influenceur","Pepsi","Oui","Non"
"ACH00052","Janvier","Boga Fraise","Grand Tunis","Manouba","8-17","M","urbain","epicerie","fete","2","1.8","3.6","4","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00053","Janvier","Boga Cidre","Nord Littoral","Bizerte","25-34","F","rural","supermarche","repas_famille","4","1.8","7.2","3","influenceur","Coca-Cola","Oui","Non"
"ACH00054","Janvier","Boga Cidre","Grand Tunis","Tunis","18-24","M","urbain","cafe_restaurant","quotidien","2","1.8","3.6","4","pub_tv","Pepsi","Oui","Oui"
"ACH00055","Janvier","Boga Limoun","Grand Tunis","Ariana","45-54","M","urbain","epicerie","sortie_amis","3","1.8","5.4","5","pub_tv","Coca-Cola","Oui","Oui"
"ACH00056","Janvier","Boga Fraise","Centre-Est","Monastir","18-24","F","urbain","cafe_restaurant","repas_famille","4","1.8","7.2","4","pub_tv","Coca-Cola","Oui","Oui"
"ACH00057","Janvier","Boga Cidre","Grand Tunis","Tunis","18-24","M","rural","en_ligne","repas_famille","2","1.8","3.6","5","bouche_a_oreille","Boga","Oui","Non"
"ACH00058","Janvier","Boga Cidre","Centre-Est","Mahdia","35-44","M","urbain","epicerie","sortie_amis","1","1.8","1.8","4","reseaux_sociaux","Fanta","Oui","Oui"
"ACH00059","Janvier","Boga Pomme","Nord Littoral","Nabeul","25-34","F","urbain","supermarche","quotidien","3","1.8","5.4","5","pub_tv","Aucun","Oui","Non"
"ACH00060","Janvier","Boga Fraise","Sud","Tataouine","25-34","M","urbain","supermarche","sortie_amis","1","1.8","1.8","5","pub_tv","Aucun","Oui","Non"
"ACH00061","Janvier","Boga Cidre","Grand Tunis","Tunis","25-34","M","urbain","supermarche","fete","6","1.8","10.8","5","pub_tv","Aucun","Oui","Oui"
"ACH00062","Janvier","Boga Cidre","Sud","Tataouine","55+","M","rural","epicerie","quotidien","2","1.8","3.6","5","pub_tv","Coca-Cola","Oui","Oui"
"ACH00063","Janvier","Boga Limoun","Grand Tunis","Ben Arous","35-44","F","urbain","cafe_restaurant","fete","4","1.8","7.2","5","reseaux_sociaux","Fanta","Oui","Oui"
"ACH00064","Janvier","Boga Pomme","Sud","Médenine","45-54","M","urbain","epicerie","quotidien","1","1.8","1.8","5","affichage","Aucun","Oui","Oui"
"ACH00065","Janvier","Boga Cidre","Nord Littoral","Nabeul","25-34","M","urbain","supermarche","travail","1","1.8","1.8","5","pub_tv","Aucun","Oui","Non"
"ACH00066","Janvier","Boga Limoun","Centre-Ouest","Kairouan","8-17","F","urbain","epicerie","repas_famille","6","1.8","10.8","5","promotion_magasin","Pepsi","Oui","Oui"
"ACH00067","Janvier","Boga Cidre","Nord Littoral","Zaghouan","8-17","M","urbain","epicerie","repas_famille","3","1.8","5.4","3","influenceur","Safia","Oui","Non"
"ACH00068","Janvier","Boga Cidre","Sud","Médenine","45-54","M","urbain","supermarche","quotidien","1","1.8","1.8","4","reseaux_sociaux","Boga","Oui","Non"
"ACH00069","Janvier","Boga Cidre","Centre-Est","Monastir","25-34","M","urbain","epicerie","repas_famille","4","1.8","7.2","4","bouche_a_oreille","Aucun","Oui","Non"
"ACH00070","Janvier","Boga Fraise","Sud","Sfax","18-24","F","rural","en_ligne","quotidien","2","1.8","3.6","4","reseaux_sociaux","Aucun","Oui","Non"
"ACH00071","Janvier","Boga Cidre","Sud","Médenine","25-34","F","rural","supermarche","fete","2","1.8","3.6","5","affichage","Aucun","Oui","Oui"
"ACH00072","Janvier","Boga Limoun","Nord Littoral","Bizerte","35-44","M","rural","souk","sport","2","1.8","3.6","5","affichage","Boga","Oui","Oui"
"ACH00073","Janvier","Boga Cidre","Centre-Ouest","Sidi Bouzid","8-17","F","rural","supermarche","sport","3","1.8","5.4","4","reseaux_sociaux","Coca-Cola","Oui","Oui"
"ACH00074","Janvier","Boga Fraise","Sud","Médenine","35-44","F","urbain","en_ligne","travail","1","1.8","1.8","5","promotion_magasin","Fanta","Oui","Oui"
"ACH00075","Janvier","Boga Cidre","Grand Tunis","Manouba","55+","F","urbain","supermarche","sport","1","1.8","1.8","4","affichage","Pepsi","Oui","Oui"
"ACH00076","Janvier","Boga Cidre","Sud","Gabès","25-34","F","urbain","en_ligne","quotidien","2","1.8","3.6","5","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00077","Janvier","Boga Limoun","Grand Tunis","Manouba","8-17","M","urbain","distributeur_auto","quotidien","2","1.8","3.6","5","influenceur","Pepsi","Oui","Non"
"ACH00078","Janvier","Boga Limoun","Sud","Sfax","35-44","F","rural","en_ligne","quotidien","1","1.8","1.8","4","pub_tv","Pepsi","Oui","Oui"
"ACH00079","Janvier","Boga Fraise","Centre-Ouest","Sidi Bouzid","18-24","F","rural","epicerie","travail","2","1.8","3.6","3","pub_tv","Boga","Oui","Non"
"ACH00080","Janvier","Boga Cidre","Nord Littoral","Nabeul","55+","M","rural","supermarche","fete","3","1.8","5.4","5","reseaux_sociaux","Coca-Cola","Oui","Non"
"ACH00081","Janvier","Boga Pomme","Centre-Ouest","Kairouan","55+","F","urbain","souk","quotidien","1","1.8","1.8","4","affichage","Fanta","Oui","Non"
"ACH00082","Janvier","Boga Limoun","Grand Tunis","Manouba","25-34","M","rural","epicerie","fete","2","1.8","3.6","4","influenceur","Coca-Cola","Oui","Oui"
"ACH00083","Janvier","Boga Cidre","Sud","Tataouine","25-34","M","urbain","supermarche","sortie_amis","2","1.8","3.6","4","promotion_magasin","Coca-Cola","Oui","Oui"
"ACH00084","Janvier","Boga Cidre","Grand Tunis","Ben Arous","25-34","F","urbain","epicerie","repas_famille","4","1.8","7.2","4","affichage","Coca-Cola","Oui","Oui"
"ACH00085","Janvier","Boga Cidre","Centre-Est","Sousse","18-24","M","rural","epicerie","fete","4","1.8","7.2","4","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00086","Janvier","Boga Cidre","Sud","Sfax","35-44","M","urbain","epicerie","plage_ete","1","1.8","1.8","3","influenceur","Fanta","Non","Non"
"ACH00087","Janvier","Boga Cidre","Sud","Tataouine","45-54","M","urbain","en_ligne","repas_famille","4","1.8","7.2","4","bouche_a_oreille","Coca-Cola","Oui","Oui"
"ACH00088","Janvier","Boga Pomme","Sud","Médenine","25-34","F","rural","distributeur_auto","travail","2","1.8","3.6","5","pub_tv","Aucun","Oui","Non"
"ACH00089","Janvier","Boga Limoun","Grand Tunis","Ben Arous","45-54","F","urbain","supermarche","travail","1","1.8","1.8","3","bouche_a_oreille","Coca-Cola","Oui","Non"
"ACH00090","Janvier","Boga Fraise","Sud","Tataouine","18-24","F","urbain","epicerie","sport","2","1.8","3.6","5","pub_tv","Safia","Oui","Non"
"ACH00091","Janvier","Boga Limoun","Sud","Tataouine","25-34","F","urbain","epicerie","quotidien","1","1.8","1.8","3","bouche_a_oreille","Fanta","Non","Non"
"ACH00092","Janvier","Boga Cidre","Grand Tunis","Manouba","55+","M","urbain","supermarche","sport","1","1.8","1.8","4","reseaux_sociaux","Coca-Cola","Oui","Non"
"ACH00093","Janvier","Boga Cidre","Sud","Gabès","25-34","F","urbain","supermarche","travail","1","1.8","1.8","5","promotion_magasin","Fanta","Oui","Oui"
"ACH00094","Janvier","Boga Limoun","Sud","Sfax","18-24","F","urbain","epicerie","travail","2","1.8","3.6","4","reseaux_sociaux","Coca-Cola","Oui","Oui"
"ACH00095","Janvier","Boga Limoun","Grand Tunis","Ben Arous","35-44","M","urbain","supermarche","quotidien","1","1.8","1.8","4","promotion_magasin","Pepsi","Oui","Oui"
"ACH00096","Janvier","Boga Pomme","Nord Littoral","Nabeul","8-17","F","rural","epicerie","repas_famille","4","1.8","7.2","4","affichage","Fanta","Oui","Oui"
"ACH00097","Janvier","Boga Cidre","Sud","Médenine","45-54","F","urbain","supermarche","quotidien","1","1.8","1.8","4","pub_tv","Fanta","Oui","Oui"
"ACH00098","Janvier","Boga Limoun","Grand Tunis","Ben Arous","8-17","M","rural","cafe_restaurant","sortie_amis","2","1.8","3.6","5","promotion_magasin","Pepsi","Oui","Oui"
"ACH00099","Janvier","Boga Pomme","Grand Tunis","Manouba","25-34","M","urbain","epicerie","fete","6","1.8","10.8","3","bouche_a_oreille","Coca-Cola","Non","Non"
"ACH00100","Janvier","Boga Limoun","Sud","Gabès","18-24","F","urbain","epicerie","fete","2","1.8","3.6","5","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00101","Février","Boga Limoun","Grand Tunis","Ariana","18-24","M","urbain","en_ligne","sport","2","1.8","3.6","3","affichage","Coca-Cola","Non","Non"
"ACH00102","Février","Boga Cidre","Nord Littoral","Zaghouan","35-44","M","urbain","souk","sortie_amis","1","1.8","1.8","4","pub_tv","Aucun","Oui","Non"
"ACH00103","Février","Boga Pomme","Grand Tunis","Tunis","18-24","M","urbain","souk","sortie_amis","2","1.8","3.6","5","promotion_magasin","Boga","Oui","Non"
"ACH00104","Février","Boga Cidre","Grand Tunis","Ariana","35-44","M","urbain","epicerie","repas_famille","3","1.8","5.4","4","affichage","Pepsi","Oui","Oui"
"ACH00105","Février","Boga Fraise","Nord Littoral","Bizerte","45-54","M","rural","supermarche","travail","1","1.8","1.8","4","reseaux_sociaux","Fanta","Oui","Oui"
"ACH00106","Février","Boga Limoun","Nord Littoral","Nabeul","45-54","M","rural","epicerie","travail","1","1.8","1.8","5","promotion_magasin","Pepsi","Oui","Non"
"ACH00107","Février","Boga Limoun","Centre-Ouest","Kairouan","35-44","M","urbain","en_ligne","quotidien","1","1.8","1.8","3","pub_tv","Fanta","Oui","Non"
"ACH00108","Février","Boga Pomme","Sud","Sfax","18-24","M","urbain","distributeur_auto","repas_famille","2","1.8","3.6","4","promotion_magasin","Boga","Oui","Oui"
"ACH00109","Février","Boga Limoun","Sud","Sfax","45-54","M","urbain","supermarche","fete","4","1.8","7.2","4","pub_tv","Pepsi","Oui","Non"
"ACH00110","Février","Boga Limoun","Sud","Tataouine","8-17","F","urbain","cafe_restaurant","quotidien","1","1.8","1.8","3","reseaux_sociaux","Boga","Non","Non"
"ACH00111","Février","Boga Limoun","Grand Tunis","Tunis","25-34","F","urbain","supermarche","sortie_amis","3","1.8","5.4","4","reseaux_sociaux","Fanta","Oui","Oui"
"ACH00112","Février","Boga Limoun","Grand Tunis","Tunis","18-24","M","urbain","epicerie","plage_ete","2","1.8","3.6","5","reseaux_sociaux","Coca-Cola","Oui","Oui"
"ACH00113","Février","Boga Cidre","Grand Tunis","Manouba","55+","F","urbain","epicerie","fete","4","1.8","7.2","4","reseaux_sociaux","Coca-Cola","Oui","Non"
"ACH00114","Février","Boga Cidre","Nord-Ouest","Jendouba","18-24","F","urbain","epicerie","fete","3","1.8","5.4","5","promotion_magasin","Pepsi","Oui","Oui"
"ACH00115","Février","Boga Limoun","Centre-Ouest","Sidi Bouzid","18-24","F","urbain","epicerie","quotidien","1","1.8","1.8","5","reseaux_sociaux","Coca-Cola","Oui","Oui"
"ACH00116","Février","Boga Cidre","Nord-Ouest","Béja","25-34","F","urbain","supermarche","sport","1","1.8","1.8","5","pub_tv","Pepsi","Oui","Oui"
"ACH00117","Février","Boga Cidre","Centre-Ouest","Sidi Bouzid","55+","F","urbain","epicerie","fete","4","1.8","7.2","4","bouche_a_oreille","Safia","Oui","Non"
"ACH00118","Février","Boga Limoun","Nord Littoral","Zaghouan","35-44","M","urbain","supermarche","quotidien","1","1.8","1.8","5","pub_tv","Coca-Cola","Oui","Oui"
"ACH00119","Février","Boga Cidre","Sud","Sfax","25-34","F","urbain","epicerie","repas_famille","2","1.8","3.6","5","bouche_a_oreille","Pepsi","Oui","Non"
"ACH00120","Février","Boga Cidre","Grand Tunis","Manouba","18-24","F","rural","cafe_restaurant","travail","1","1.8","1.8","3","pub_tv","Safia","Non","Non"
"ACH00121","Février","Boga Pomme","Centre-Est","Mahdia","8-17","F","urbain","distributeur_auto","travail","3","1.8","5.4","5","affichage","Fanta","Oui","Non"
"ACH00122","Février","Boga Cidre","Grand Tunis","Manouba","8-17","F","urbain","epicerie","travail","3","1.8","5.4","3","reseaux_sociaux","Safia","Non","Non"
"ACH00123","Février","Boga Limoun","Nord Littoral","Zaghouan","8-17","F","urbain","cafe_restaurant","sortie_amis","1","1.8","1.8","5","affichage","Boga","Oui","Oui"
"ACH00124","Février","Boga Fraise","Sud","Sfax","35-44","M","urbain","supermarche","quotidien","1","1.8","1.8","5","bouche_a_oreille","Pepsi","Oui","Non"
"ACH00125","Février","Boga Limoun","Nord-Ouest","Le Kef","8-17","F","rural","cafe_restaurant","quotidien","2","1.8","3.6","4","pub_tv","Boga","Oui","Oui"
"ACH00126","Février","Boga Pomme","Centre-Ouest","Kairouan","35-44","M","urbain","supermarche","travail","1","1.8","1.8","4","bouche_a_oreille","Boga","Oui","Oui"
"ACH00127","Février","Boga Cidre","Sud","Médenine","25-34","F","urbain","supermarche","quotidien","1","1.8","1.8","4","pub_tv","Boga","Oui","Oui"
"ACH00128","Février","Boga Cidre","Nord Littoral","Bizerte","55+","M","urbain","souk","sortie_amis","1","1.8","1.8","3","reseaux_sociaux","Coca-Cola","Non","Non"
"ACH00129","Février","Boga Pomme","Centre-Ouest","Kasserine","18-24","M","rural","distributeur_auto","travail","1","1.8","1.8","4","influenceur","Fanta","Oui","Oui"
"ACH00130","Février","Boga Cidre","Grand Tunis","Manouba","25-34","M","urbain","supermarche","sport","1","1.8","1.8","5","bouche_a_oreille","Fanta","Oui","Oui"
"ACH00131","Février","Boga Limoun","Sud","Médenine","35-44","F","rural","epicerie","sortie_amis","1","1.8","1.8","4","pub_tv","Fanta","Oui","Non"
"ACH00132","Février","Boga Pomme","Nord-Ouest","Jendouba","25-34","M","urbain","en_ligne","sport","1","1.8","1.8","5","affichage","Coca-Cola","Oui","Oui"
"ACH00133","Février","Boga Pomme","Grand Tunis","Ariana","35-44","F","urbain","epicerie","quotidien","1","1.8","1.8","5","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00134","Février","Boga Pomme","Centre-Est","Mahdia","35-44","F","rural","cafe_restaurant","quotidien","1","1.8","1.8","5","influenceur","Fanta","Oui","Oui"
"ACH00135","Février","Boga Pomme","Centre-Est","Sousse","25-34","F","urbain","en_ligne","fete","4","1.8","7.2","5","bouche_a_oreille","Coca-Cola","Oui","Oui"
"ACH00136","Février","Boga Cidre","Nord Littoral","Nabeul","35-44","M","urbain","supermarche","travail","1","1.8","1.8","4","pub_tv","Boga","Oui","Oui"
"ACH00137","Février","Boga Fraise","Centre-Ouest","Sidi Bouzid","35-44","M","urbain","epicerie","repas_famille","3","1.8","5.4","4","influenceur","Fanta","Oui","Oui"
"ACH00138","Février","Boga Cidre","Centre-Est","Mahdia","25-34","F","urbain","souk","quotidien","2","1.8","3.6","4","influenceur","Pepsi","Oui","Non"
"ACH00139","Février","Boga Limoun","Centre-Est","Monastir","25-34","F","urbain","supermarche","repas_famille","6","1.8","10.8","4","reseaux_sociaux","Safia","Oui","Non"
"ACH00140","Février","Boga Cidre","Nord-Ouest","Béja","18-24","F","urbain","cafe_restaurant","plage_ete","2","1.8","3.6","4","bouche_a_oreille","Pepsi","Oui","Oui"
"ACH00141","Février","Boga Cidre","Grand Tunis","Tunis","25-34","M","urbain","souk","quotidien","2","1.8","3.6","3","affichage","Coca-Cola","Oui","Non"
"ACH00142","Février","Boga Cidre","Sud","Tataouine","25-34","M","urbain","cafe_restaurant","quotidien","1","1.8","1.8","5","bouche_a_oreille","Coca-Cola","Oui","Oui"
"ACH00143","Février","Boga Pomme","Grand Tunis","Ariana","18-24","M","urbain","en_ligne","quotidien","2","1.8","3.6","4","affichage","Aucun","Oui","Non"
"ACH00144","Février","Boga Limoun","Grand Tunis","Tunis","45-54","F","urbain","supermarche","travail","1","1.8","1.8","5","promotion_magasin","Fanta","Oui","Non"
"ACH00145","Février","Boga Cidre","Grand Tunis","Manouba","25-34","M","urbain","supermarche","sport","2","1.8","3.6","4","bouche_a_oreille","Boga","Oui","Oui"
"ACH00146","Février","Boga Fraise","Grand Tunis","Manouba","25-34","M","urbain","en_ligne","sortie_amis","1","1.8","1.8","4","reseaux_sociaux","Pepsi","Oui","Oui"
"ACH00147","Février","Boga Cidre","Centre-Est","Monastir","25-34","M","urbain","supermarche","quotidien","1","1.8","1.8","4","promotion_magasin","Safia","Oui","Non"
"ACH00148","Février","Boga Cidre","Centre-Ouest","Kasserine","18-24","M","urbain","epicerie","quotidien","2","1.8","3.6","5","reseaux_sociaux","Fanta","Oui","Oui"
"ACH00149","Février","Boga Cidre","Centre-Est","Sousse","35-44","M","urbain","epicerie","sortie_amis","3","1.8","5.4","3","promotion_magasin","Aucun","Oui","Non"
"ACH00150","Février","Boga Pomme","Grand Tunis","Manouba","8-17","M","urbain","cafe_restaurant","sortie_amis","1","1.8","1.8","3","pub_tv","Pepsi","Non","Non"
"ACH00151","Février","Boga Cidre","Centre-Est","Monastir","35-44","F","urbain","supermarche","quotidien","1","1.8","1.8","4","affichage","Fanta","Oui","Oui"
"ACH00152","Février","Boga Limoun","Nord-Ouest","Le Kef","8-17","F","urbain","epicerie","quotidien","2","1.8","3.6","5","reseaux_sociaux","Aucun","Oui","Oui"
"ACH00153","Février","Boga Cidre","Sud","Sfax","25-34","M","urbain","cafe_restaurant","sport","2","1.8","3.6","4","affichage","Coca-Cola","Oui","Non"
"ACH00154","Février","Boga Cidre","Grand Tunis","Manouba","25-34","M","urbain","supermarche","sport","3","1.8","5.4","5","pub_tv","Aucun","Oui","Oui"
"ACH00155","Février","Boga Limoun","Centre-Ouest","Kairouan","18-24","M","urbain","supermarche","quotidien","2","1.8","3.6","3","affichage","Pepsi","Oui","Non"
"ACH00156","Février","Boga Limoun","Nord Littoral","Nabeul","8-17","F","rural","epicerie","travail","2","1.8","3.6","5","promotion_magasin","Coca-Cola","Oui","Oui"
"ACH00157","Février","Boga Pomme","Sud","Tataouine","18-24","M","urbain","cafe_restaurant","repas_famille","2","1.8","3.6","5","bouche_a_oreille","Coca-Cola","Oui","Oui"
"ACH00158","Février","Boga Pomme","Sud","Médenine","25-34","F","rural","supermarche","sport","1","1.8","1.8","5","reseaux_sociaux","Safia","Oui","Oui"
"ACH00159","Février","Boga Cidre","Centre-Est","Monastir","25-34","M","rural","epicerie","quotidien","1","1.8","1.8","4","reseaux_sociaux","Fanta","Oui","Non"
"ACH00160","Février","Boga Limoun","Sud","Sfax","45-54","M","rural","souk","repas_famille","3","1.8","5.4","4","promotion_magasin","Pepsi","Oui","Non"
"ACH00161","Février","Boga Pomme","Grand Tunis","Tunis","35-44","F","urbain","en_ligne","repas_famille","3","1.8","5.4","4","reseaux_sociaux","Pepsi","Oui","Oui"
