id,age,tranche_age,genre,education,region,gouvernorat,milieu,revenu_mensuel_tnd,tranche_revenu,taux_epargne_pct,lifestyle,canaux_utilises,nb_canaux,categories_achetees,nb_categories,canaux_decouverte,recherche_mobile_pct,recherche_duree_jours,sources_comparees,methode_paiement,panier_moyen_tnd,achat_en_ligne,achat_repete_3mois,nps,connait_programme_fidelite,points_friction,nb_friction,ramadan_actif,ramadan_panier_tnd,ete_actif,ete_panier_tnd,soldes_actif,soldes_panier_tnd,smartphone,connexion_4g_5g,utilise_apps_paiement,actif_reseaux_sociaux,satisfaction_globale,season
TN00011,30,25-34,M,Universitaire Licence,Nord Littoral,Zaghouan,urbain,515,Faible,10.5,Digitaliste connecté,boutique_physique,1,maison_deco|divertissement|mode,3,google_search|affichage_urbain|bouche_a_oreille,81,4,2,virement,61.51,False,True,41,False,livraison_lente_chere|mefiance_paiement_online|prix_non_transparents|service_client_absent,4,True,65.74,True,61.44,True,56.77,True,True,True,False,46,ramadan
TN00012,29,25-34,M,Universitaire Licence,Grand Tunis,Manouba,urbain,1360,Moyen,6.8,Urbain moderne,reseaux_sociaux|app_mobile,2,sport|sante|tech_electronique|beaute_hygiene,4,instagram|bouche_a_oreille,78,3,4,carte_bancaire,123.02,False,True,46,False,mefiance_paiement_online|retours_difficiles|prix_non_transparents,3,True,219.86,True,188.71,False,170.81,False,True,False,True,63,ramadan
TN00013,36,35-44,F,Primaire / Collège,Sud,Sfax,rural,341,Faible,12.1,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|marche_souk,4,sport|divertissement|tech_electronique,3,google_search|affichage_urbain|facebook,65,7,2,paiement_a_la_livraison,84.46,False,False,7,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|interface_non_arabisee|rupture_de_stock,5,True,68.23,True,66.28,False,106.47,True,True,False,True,55,ramadan
TN00014,22,18-24,M,Universitaire Licence,Sud,Médenine,rural,4925,Très élevé,5.3,Urbain moderne,boutique_physique|reseaux_sociaux|site_ecommerce,3,divertissement|alimentation|sante|beaute_hygiene|voyage_tourisme,5,facebook|affichage_urbain|influenceur_local,85,2,6,paiement_a_la_livraison,567.43,True,False,19,False,livraison_lente_chere|service_client_absent,2,True,662.88,True,561.99,False,827.34,True,True,False,True,44,ramadan
TN00015,34,25-34,M,Universitaire Licence,Centre-Est,Monastir,rural,2065,Élevé,4.8,Digitaliste connecté,reseaux_sociaux|site_ecommerce|marche_souk,3,divertissement|alimentation,2,affichage_urbain|tiktok|bouche_a_oreille,83,3,4,paiement_a_la_livraison,394.25,True,True,42,False,mefiance_paiement_online,1,True,595.27,True,448.79,False,704.5,True,True,True,True,77,ramadan
TN00016,75,55+,F,Universitaire Licence,Sud,Tataouine,urbain,1573,Élevé,6.9,Digitaliste connecté,boutique_physique|app_mobile|site_ecommerce|marche_souk,4,maison_deco|divertissement|sante,3,instagram|affichage_urbain|influenceur_local,32,5,3,carte_bancaire,315.34,False,True,45,False,livraison_lente_chere|mefiance_paiement_online|service_client_absent|rupture_de_stock,4,True,475.42,False,491.16,False,551.06,True,True,False,True,64,ramadan
TN00017,24,18-24,F,Primaire / Collège,Nord-Ouest,Le Kef,rural,1302,Moyen,14.5,Digitaliste connecté,boutique_physique,1,maison_deco|voyage_tourisme|sante|mode,4,bouche_a_oreille|influenceur_local,91,3,1,carte_bancaire,120.45,False,False,53,False,livraison_lente_chere|retours_difficiles|prix_non_transparents|interface_non_arabisee|rupture_de_stock,5,False,124.51,False,123.89,True,170.11,True,False,True,True,55,soldes
TN00018,40,35-44,M,Primaire / Collège,Centre-Est,Mahdia,urbain,587,Faible,6.0,Familial traditionnel,boutique_physique|television_catalogue,2,tech_electronique|mode,2,facebook,57,3,3,especes,63.5,False,False,30,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent|rupture_de_stock,6,False,79.18,True,64.5,True,73.3,False,False,False,False,23,soldes
TN00019,48,45-54,M,Primaire / Collège,Sud,Gabès,urbain,1505,Élevé,10.8,Urbain moderne,marche_souk,1,alimentation|beaute_hygiene,2,bouche_a_oreille|youtube,34,4,4,paiement_a_la_livraison,331.86,False,True,15,False,livraison_lente_chere|interface_non_arabisee,2,True,612.9,False,416.63,True,446.97,True,True,True,False,69,ramadan
TN00020,28,25-34,M,Universitaire Licence,Grand Tunis,Ariana,urbain,1347,Moyen,3.3,Familial traditionnel,boutique_physique|site_ecommerce|whatsapp_commerce,3,voyage_tourisme|sante|alimentation|mode,4,tv_radio,74,4,1,paiement_a_la_livraison,170.53,False,True,44,False,mefiance_paiement_online|service_client_absent|rupture_de_stock,3,True,234.73,False,208.34,True,248.46,True,True,True,False,60,soldes
TN00021,38,35-44,M,Secondaire / BAC,Nord-Ouest,Jendouba,rural,459,Faible,1.4,Digitaliste connecté,reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,4,maison_deco|mode|beaute_hygiene,3,affichage_urbain|tv_radio,61,3,3,carte_bancaire,48.65,False,False,26,False,livraison_lente_chere|mefiance_paiement_online|prix_non_transparents|service_client_absent|interface_non_arabisee|rupture_de_stock,6,True,84.71,True,78.58,True,101.48,True,False,True,True,70,soldes
TN00022,20,18-24,M,Master / Ingénieur,Grand Tunis,Manouba,urbain,1306,Moyen,0.7,Rural émergent,boutique_physique|app_mobile|marche_souk,3,maison_deco|sante|tech_electronique,3,bouche_a_oreille|youtube,95,7,4,especes,116.38,True,True,57,True,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|service_client_absent,4,True,131.67,True,109.07,True,121.1,True,True,False,False,48,ramadan
TN00023,33,25-34,F,Universitaire Licence,Grand Tunis,Manouba,urbain,592,Faible,7.6,Digitaliste connecté,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,5,mode|divertissement|tech_electronique,3,instagram|tiktok|facebook,77,2,4,paiement_a_la_livraison,38.93,True,False,28,False,retours_difficiles|prix_non_transparents,2,True,76.35,True,66.56,True,80.09,True,True,True,True,77,soldes
TN00024,19,18-24,M,Primaire / Collège,Nord-Ouest,Le Kef,rural,1119,Moyen,9.3,Digitaliste connecté,app_mobile|whatsapp_commerce,2,voyage_tourisme|divertissement|beaute_hygiene,3,tiktok,96,5,1,especes,94.2,False,False,26,False,mefiance_paiement_online|retours_difficiles|prix_non_transparents,3,True,125.57,False,123.76,True,131.36,True,True,True,True,52,soldes
TN00025,19,18-24,F,Master / Ingénieur,Centre-Est,Sfax Nord,rural,4699,Très élevé,9.8,Familial traditionnel,boutique_physique|reseaux_sociaux|marche_souk,3,maison_deco|voyage_tourisme|alimentation|beaute_hygiene,4,youtube|tiktok|instagram,80,6,2,paiement_a_la_livraison,550.39,True,False,34,True,mefiance_paiement_online|retours_difficiles|service_client_absent|interface_non_arabisee|rupture_de_stock,5,True,779.86,True,594.36,False,571.03,True,True,True,False,51,ramadan
TN00026,63,55+,F,Secondaire / BAC,Grand Tunis,Manouba,urbain,423,Faible,13.1,Digitaliste connecté,marche_souk,1,voyage_tourisme|sante|tech_electronique,3,affichage_urbain,38,3,3,especes,51.89,True,False,43,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|interface_non_arabisee,4,True,54.83,True,60.28,True,61.25,True,True,False,True,62,soldes
TN00027,29,25-34,M,Secondaire / BAC,Grand Tunis,Tunis,urbain,1306,Moyen,11.0,Urbain moderne,boutique_physique|marche_souk,2,maison_deco|voyage_tourisme|tech_electronique|beaute_hygiene,4,instagram,85,2,4,carte_bancaire,126.67,True,True,47,True,livraison_lente_chere|retours_difficiles|service_client_absent|interface_non_arabisee,4,True,221.55,True,160.96,True,258.07,True,False,True,True,42,soldes
TN00028,52,45-54,F,Universitaire Licence,Grand Tunis,Ariana,urbain,4309,Très élevé,5.5,Digitaliste connecté,reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,4,tech_electronique|mode,2,youtube,44,5,4,especes,1229.7,True,True,15,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|interface_non_arabisee,4,True,1296.84,False,1287.61,True,1736.65,True,False,True,False,56,soldes
TN00029,49,45-54,M,Master / Ingénieur,Centre-Est,Mahdia,urbain,1240,Moyen,2.2,Familial traditionnel,boutique_physique|app_mobile|marche_souk,3,alimentation|tech_electronique,2,youtube|facebook|tv_radio,51,9,5,especes,145.44,False,False,28,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|service_client_absent|interface_non_arabisee,5,True,212.71,False,189.96,False,245.86,True,True,True,False,50,ramadan
TN00030,27,25-34,F,Master / Ingénieur,Centre-Ouest,Kasserine,rural,794,Moyen,0.8,Digitaliste connecté,boutique_physique|reseaux_sociaux|app_mobile|marche_souk,4,maison_deco|voyage_tourisme|alimentation|mode,4,bouche_a_oreille,84,6,3,paiement_a_la_livraison,201.24,True,False,31,True,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent,5,False,224.12,False,176.27,False,255.41,True,True,True,True,53,ete
TN00031,34,25-34,M,Secondaire / BAC,Sud,Gabès,urbain,1462,Moyen,18.0,Urbain moderne,boutique_physique|marche_souk,2,sport|alimentation|mode,3,instagram|tv_radio|google_search,78,8,2,carte_bancaire,174.38,False,True,5,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles,3,True,193.46,True,177.48,False,248.87,True,True,False,True,33,ramadan
TN00032,39,35-44,F,Primaire / Collège,Centre-Est,Mahdia,rural,1171,Moyen,17.6,Familial traditionnel,boutique_physique,1,maison_deco|beaute_hygiene,2,google_search|influenceur_local|facebook,62,1,2,especes,251.7,True,True,75,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|service_client_absent|rupture_de_stock,5,True,290.21,True,201.03,True,319.28,True,True,False,True,60,soldes
TN00033,25,25-34,F,Sans diplôme,Sud,Médenine,urbain,1147,Moyen,2.5,Digitaliste connecté,reseaux_sociaux|television_catalogue,2,divertissement,1,affichage_urbain|tiktok,91,9,2,virement,110.21,True,False,72,False,livraison_lente_chere|interface_non_arabisee|rupture_de_stock,3,True,195.42,True,161.49,True,166.59,True,True,True,True,86,ramadan
TN00034,34,25-34,M,Universitaire Licence,Nord Littoral,Zaghouan,rural,663,Moyen,8.2,Digitaliste connecté,boutique_physique|reseaux_sociaux,2,divertissement|alimentation,2,google_search|youtube|influenceur_local,76,7,3,paiement_a_la_livraison,217.18,False,False,20,False,,0,True,215.12,True,185.58,True,232.57,True,True,True,True,40,soldes
TN00035,25,25-34,F,Secondaire / BAC,Nord Littoral,Nabeul,urbain,476,Faible,1.8,Digitaliste connecté,boutique_physique|reseaux_sociaux,2,maison_deco|divertissement|beaute_hygiene,3,tv_radio,79,6,2,paiement_mobile,46.28,True,True,67,False,livraison_lente_chere|retours_difficiles|prix_non_transparents,3,True,63.31,True,65.14,False,64.86,True,True,False,True,60,ete
TN00036,33,25-34,M,Universitaire Licence,Nord Littoral,Béja,urbain,557,Faible,13.0,Rural émergent,boutique_physique,1,alimentation|sante|mode|beaute_hygiene,4,influenceur_local,76,4,4,paiement_a_la_livraison,64.23,False,False,13,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent,5,True,62.07,True,54.11,True,50.95,True,True,False,True,58,ramadan
TN00037,54,45-54,F,Secondaire / BAC,Centre-Ouest,Kairouan,rural,1490,Moyen,8.8,Rural émergent,boutique_physique|app_mobile,2,maison_deco|alimentation,2,bouche_a_oreille,42,4,4,especes,198.04,False,True,8,False,mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent|interface_non_arabisee,5,True,211.11,True,208.14,True,308.51,True,False,False,False,71,soldes
TN00038,42,35-44,M,Master / Ingénieur,Grand Tunis,Ariana,urbain,3240,Très élevé,15.3,Urbain moderne,reseaux_sociaux|site_ecommerce|marche_souk|whatsapp_commerce,4,mode,1,tiktok,51,2,3,paiement_a_la_livraison,1352.94,True,False,11,False,livraison_lente_chere|retours_difficiles|service_client_absent,3,True,1570.31,False,1137.91,True,2130.97,True,False,False,True,58,soldes
TN00039,18,18-24,F,Sans diplôme,Centre-Est,Sfax Nord,rural,2820,Élevé,5.9,Digitaliste connecté,boutique_physique|app_mobile|marche_souk|whatsapp_commerce,4,voyage_tourisme|divertissement|beaute_hygiene,3,affichage_urbain|google_search|facebook,97,4,2,paiement_a_la_livraison,269.51,True,True,33,True,prix_non_transparents,1,True,341.7,True,244.64,True,352.25,True,False,True,True,63,soldes
TN00040,34,25-34,F,Sans diplôme,Sud,Tataouine,rural,1417,Moyen,8.9,Urbain moderne,boutique_physique|reseaux_sociaux|app_mobile|marche_souk,4,maison_deco|tech_electronique|mode,3,facebook,91,1,4,especes,118.73,True,False,11,True,livraison_lente_chere|service_client_absent,2,True,192.41,True,179.27,True,165.29,True,True,True,True,52,ramadan
TN00041,50,45-54,M,Secondaire / BAC,Centre-Est,Sfax Nord,urbain,2833,Élevé,4.5,Rural émergent,boutique_physique|reseaux_sociaux|site_ecommerce|marche_souk,4,alimentation|mode|tech_electronique,3,affichage_urbain|bouche_a_oreille,41,4,5,paiement_a_la_livraison,357.53,True,False,45,False,mefiance_paiement_online|service_client_absent,2,True,558.82,True,503.65,True,774.39,True,True,False,True,71,soldes
TN00042,65,55+,F,Secondaire / BAC,Sud,Tataouine,urbain,432,Faible,7.8,Familial traditionnel,boutique_physique|site_ecommerce|marche_souk,3,maison_deco|sante,2,influenceur_local|tiktok|affichage_urbain,38,2,3,especes,55.38,False,False,22,False,livraison_lente_chere|mefiance_paiement_online|prix_non_transparents|service_client_absent|interface_non_arabisee,5,True,50.12,True,44.05,True,57.85,True,True,False,True,61,soldes
TN00043,24,18-24,F,Universitaire Licence,Centre-Est,Monastir,urbain,1418,Moyen,8.9,Rural émergent,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce,4,maison_deco|sport|voyage_tourisme|divertissement,4,tv_radio|influenceur_local|google_search,81,3,4,paiement_a_la_livraison,117.98,True,False,9,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents,4,True,107.38,True,126.6,True,158.05,True,True,False,True,50,soldes
TN00044,29,25-34,M,Primaire / Collège,Nord Littoral,Bizerte,rural,2658,Élevé,14.1,Digitaliste connecté,reseaux_sociaux|app_mobile|site_ecommerce,3,alimentation|mode,2,affichage_urbain,83,5,3,virement,474.44,True,True,51,False,livraison_lente_chere|prix_non_transparents,2,True,473.17,False,418.78,False,608.66,False,False,False,True,65,ramadan
TN00045,20,18-24,F,Universitaire Licence,Centre-Ouest,Kairouan,urbain,1101,Moyen,16.8,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce,4,maison_deco|voyage_tourisme|alimentation|sante,4,google_search|youtube|bouche_a_oreille,98,4,3,paiement_a_la_livraison,113.41,True,False,23,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents,4,False,101.16,True,132.18,False,165.56,True,False,False,True,50,ete
TN00046,23,18-24,M,Universitaire Licence,Centre-Ouest,Kairouan,urbain,346,Faible,1.5,Digitaliste connecté,boutique_physique|reseaux_sociaux|app_mobile|marche_souk|whatsapp_commerce,5,divertissement|mode|beaute_hygiene,3,tv_radio,93,3,3,especes,36.41,False,True,21,False,prix_non_transparents|rupture_de_stock,2,True,44.15,True,28.86,False,36.34,True,False,False,False,72,ramadan
TN00047,22,18-24,M,Universitaire Licence,Sud,Médenine,urbain,327,Faible,16.6,Digitaliste connecté,reseaux_sociaux|app_mobile|site_ecommerce|whatsapp_commerce,4,maison_deco|divertissement|mode|beaute_hygiene,4,youtube,98,7,5,paiement_a_la_livraison,27.53,False,False,35,True,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents,4,True,32.09,True,32.5,False,46.54,True,True,True,True,30,ete
TN00048,23,18-24,M,Sans diplôme,Sud,Gabès,urbain,955,Moyen,1.4,Urbain moderne,reseaux_sociaux|app_mobile|site_ecommerce,3,alimentation|sante,2,youtube,95,4,4,carte_bancaire,103.3,True,True,15,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|interface_non_arabisee,4,True,118.6,False,126.24,True,126.23,True,True,False,True,63,soldes
TN00049,57,55+,F,Universitaire Licence,Nord Littoral,Nabeul,urbain,2136,Élevé,1.1,Urbain moderne,boutique_physique|reseaux_sociaux|app_mobile|marche_souk,4,sport|alimentation|mode,3,affichage_urbain|bouche_a_oreille|youtube,36,4,2,especes,343.78,False,True,12,False,livraison_lente_chere|service_client_absent|interface_non_arabisee|rupture_de_stock,4,True,531.22,False,404.16,True,385.83,True,True,True,False,76,ramadan
TN00050,40,35-44,M,Primaire / Collège,Centre-Ouest,Kasserine,rural,403,Faible,1.3,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|marche_souk|whatsapp_commerce,5,alimentation|sante|beaute_hygiene,3,affichage_urbain,57,4,4,paiement_a_la_livraison,79.78,False,False,65,True,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|service_client_absent|rupture_de_stock,5,True,70.95,True,83.17,False,96.3,False,True,False,False,58,ete
TN00051,21,18-24,M,Master / Ingénieur,Grand Tunis,Ben Arous,urbain,1341,Moyen,4.8,Urbain moderne,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,5,mode|sport|tech_electronique|beaute_hygiene,4,bouche_a_oreille,92,1,3,paiement_a_la_livraison,71.27,True,False,9,False,retours_difficiles|prix_non_transparents,2,True,111.33,False,109.2,False,170.71,True,False,True,False,73,ramadan
TN00052,27,25-34,M,Secondaire / BAC,Grand Tunis,Manouba,urbain,2928,Élevé,3.1,Urbain moderne,boutique_physique|app_mobile|marche_souk,3,sante,1,influenceur_local|google_search,76,5,3,paiement_a_la_livraison,276.3,True,False,19,False,livraison_lente_chere|prix_non_transparents|service_client_absent|rupture_de_stock,4,False,492.36,True,420.45,False,528.72,False,True,False,False,71,ete
TN00053,29,25-34,M,Universitaire Licence,Grand Tunis,Ariana,urbain,5346,Très élevé,17.1,Urbain moderne,app_mobile,1,tech_electronique|sante|beaute_hygiene|voyage_tourisme|sport,5,instagram|affichage_urbain|influenceur_local,79,6,4,especes,1021.64,True,False,43,False,livraison_lente_chere|mefiance_paiement_online|prix_non_transparents|rupture_de_stock,4,True,1004.72,True,1131.36,True,1529.41,True,True,True,False,44,soldes
TN00054,34,25-34,F,Universitaire Licence,Centre-Est,Sousse,urbain,1269,Moyen,6.2,Familial traditionnel,reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,4,maison_deco|mode|sante|tech_electronique,4,influenceur_local|google_search|youtube,78,4,3,paiement_a_la_livraison,125.97,False,False,18,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent|rupture_de_stock,6,True,199.13,True,179.64,False,230.06,True,False,False,True,56,ramadan
TN00055,33,25-34,F,Master / Ingénieur,Centre-Ouest,Sidi Bouzid,rural,841,Moyen,4.8,Urbain moderne,boutique_physique,1,alimentation|sport|sante|beaute_hygiene,4,tiktok|instagram|tv_radio,81,5,3,especes,130.25,True,True,56,False,livraison_lente_chere|retours_difficiles|interface_non_arabisee,3,True,216.36,True,158.18,True,168.49,True,False,False,True,74,ramadan
TN00056,20,18-24,F,Sans diplôme,Centre-Est,Sfax Nord,urbain,875,Moyen,4.4,Rural émergent,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk|television_catalogue,6,sante|alimentation,2,tiktok,85,4,1,paiement_a_la_livraison,105.16,False,True,-5,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|service_client_absent,4,True,103.23,True,104.28,True,130.06,True,True,False,True,62,soldes
TN00057,20,18-24,F,Universitaire Licence,Centre-Est,Mahdia,urbain,995,Moyen,12.3,Familial traditionnel,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk|whatsapp_commerce,6,divertissement|mode|beaute_hygiene,3,facebook|influenceur_local|bouche_a_oreille,97,2,2,especes,118.27,False,True,57,False,livraison_lente_chere|mefiance_paiement_online|retours_difficiles|rupture_de_stock,4,True,117.21,True,100.59,True,154.08,True,True,False,True,56,soldes
TN00058,44,35-44,F,Secondaire / BAC,Centre-Est,Sfax Nord,urbain,413,Faible,17.8,Digitaliste connecté,reseaux_sociaux|marche_souk|whatsapp_commerce,3,divertissement|sante,2,tiktok|google_search|facebook,60,4,1,paiement_a_la_livraison,83.54,True,False,53,False,mefiance_paiement_online|prix_non_transparents|interface_non_arabisee|rupture_de_stock,4,False,69.27,True,78.95,True,107.44,False,False,True,False,50,soldes
TN00059,27,25-34,M,Sans diplôme,Grand Tunis,Tunis,urbain,814,Moyen,13.1,Digitaliste connecté,boutique_physique|app_mobile|marche_souk,3,mode|tech_electronique,2,tv_radio|affichage_urbain,80,6,3,paiement_a_la_livraison,110.74,True,True,37,False,livraison_lente_chere|retours_difficiles|prix_non_transparents|service_client_absent|rupture_de_stock,5,True,217.1,False,220.56,True,180.11,True,False,False,True,50,ramadan
TN00060,29,25-34,F,Secondaire / BAC,Grand Tunis,Tunis,urbain,1598,Élevé,1.4,Digitaliste connecté,reseaux_sociaux|marche_souk,2,mode|beaute_hygiene,2,bouche_a_oreille,86,3,2,carte_bancaire,450.37,False,True,24,True,mefiance_paiement_online|retours_difficiles|prix_non_transparents|service_client_absent|interface_non_arabisee|rupture_de_stock,6,True,603.7,True,367.66,False,605.27,True,False,False,True,48,ramadan
TN00061,26,25-34,F,Universitaire Licence,Nord-Ouest,Le Kef,urbain,2237,Élevé,4.7,Rural émergent,boutique_physique|app_mobile|marche_souk,3,sante|alimentation|beaute_hygiene,3,youtube,79,1,4,especes,491.67,False,True,-5,False,mefiance_paiement_online|service_client_absent|rupture_de_stock,3,True,505.75,True,522.89,False,421.92,True,False,False,False,70,ete
TN00062,65,55+,F,Universitaire Licence,Sud,Gabès,urbain,1043,Moyen,1.0,Digitaliste connecté,boutique_physique|reseaux_sociaux,2,maison_deco|divertissement|mode|beaute_hygiene,4,facebook,31,6,5,virement,183.73,False,True,18,True,livraison_lente_chere|retours_difficiles|prix_non_transparents,3,True,192.44,False,196.37,True,217.86,True,True,False,True,65,soldes
TN00063,36,35-44,M,Universitaire Licence,Centre-Est,Mahdia,urbain,481,Faible,11.0,Digitaliste connecté,reseaux_sociaux|marche_souk|whatsapp_commerce,3,divertissement|alimentation|beaute_hygiene,3,tv_radio|instagram|tiktok,63,6,6,paiement_a_la_livraison,63.64,True,False,30,False,prix_non_transparents|rupture_de_stock,2,False,93.02,True,80.42,True,93.95,True,True,True,True,59,soldes
TN00064,22,18-24,F,Universitaire Licence,Grand Tunis,Ariana,urbain,1318,Moyen,12.2,Digitaliste connecté,boutique_physique|reseaux_sociaux|app_mobile|site_ecommerce|marche_souk,5,divertissement|mode,2,tiktok|influenceur_local|google_search,90,2,2,carte_bancaire,102.36,True,False,58,False,livraison_lente_chere|retours_difficiles|prix_non_transparents|service_client_absent|rupture_de_stock,5,True,114.72,False,118.87,False,95.61,True,True,False,True,50,ramadan
